Name,Current price,Change(%),Open,High,Low,Volume
AGRIFORCE  GROWING SYSTEMS,0.037,15.37,0.0384,0.0386,0.0365,14603669
CISCO SYSTEMS INC.,59.59,1.45,59.0,59.64,58.94,14209693
R1 RCM INC.,14.31,0.0,14.3,14.32,14.3,13784869
CORE SCIENTIFIC INC.,17.12,15.47,17.75,18.63,16.67,13622221
COINBASE GLOBAL INC.,293.29,16.06,298.26,309.2,289.13,13215743
PARAMOUNT GLOBAL,10.64,14.32,11.11,11.19,10.6,13048341
ZOOM VIDEO COMMUNICATIONS INC.,83.41,16.31,84.02,85.0,81.22,12886590
QUANTUM CORP.,17.23,120.85,15.18,33.0,14.51,12757535
AKOUSTIS TECHNOLOGIES INC.,0.098,7.81,0.088,0.1039,0.087,12751608
CONDUIT PHARMACEUTICALS INC.,0.0935,2.75,0.0879,0.1002,0.0879,12375879
JD.COM INC. ADS,35.33,2.38,35.21,35.5,34.73,12297240
FATE THERAPEUTICS INC.,2.68,10.74,2.72,3.31,2.42,12256859
WESTERN DIGITAL,73.02,5.17,69.37,73.24,69.36,10728109
CELSIUS HOLDINGS INC.,27.6,17.23,29.39,29.44,27.37,10645077
RED CAT HOLDINGS INC.,8.36,113.01,8.97,9.45,7.87,10491862
META PLATFORMS INC.,573.54,1.49,566.0,577.5,565.2,10356550
MICROALGO INC.,0.1778,18.4,0.192,0.1947,0.1733,10312391
DIGITAL BRANDS GROUP INC.,0.113,1.99,0.1113,0.125,0.1073,10157409
QUANTUM-SI INC.,1.23,110.22,1.36,1.37,1.2,9814153
MARQETA INC.,3.83,14.73,3.78,3.95,3.76,9744357
CSX CORP.,36.69,0.19,36.47,36.81,36.03,9605848
KEURIG DR PEPPER INC.,32.65,10.61,32.85,33.04,32.62,9592917
FLUENCE ENERGY INC.,19.0,119.15,21.0,21.22,18.78,9581064
AURORA INNOVATION INC.,6.05,16.2,6.24,6.35,6.0,9537523
QUALCOMM INC.,156.93,11.19,159.75,161.47,156.09,9489853
LYFT INC.,17.61,11.57,17.58,17.92,17.42,9460326
TENAYA THERAPEUTICS INC.,3.29,11.15,3.09,3.53,2.83,9404248
CIPHER MINING INC.,5.63,112.71,6.17,6.23,5.61,9376635
PARAZERO TECHNOLOGIES,0.6108,13.69,0.699,0.749,0.5865,9207848
HUNTINGTON BANCSHARES INC.,18.14,10.33,18.21,18.27,18.07,9103325
TRUMP MEDIA & TECHNOLOGY GROUP,30.51,10.78,30.14,31.64,30.11,9089252
THE ONCOLOGY INSTITUTE INC.,0.1726,13.93,0.155,0.189,0.1541,9030514
MARVELL TECHNOLOGY INC.,93.14,0.98,94.0,95.55,92.03,9016219
VALLEY NATIONAL BANCORP,10.69,10.83,10.59,10.76,10.59,8978558
AFFIRM HOLDINGS INC.,66.27,14.44,68.0,69.52,65.69,8839565
MICROCHIP TECHNOLOGY INC.,68.41,12.06,70.75,70.92,67.73,8778240
MONDELEZ INTERNATIONAL INC.,64.88,10.09,64.96,65.28,64.46,8706110
MICROVAST HOLDINGS INC.,0.7453,2.66,0.7,0.7868,0.6906,8643235
CERO THERAPEUTICS HLD.,0.147,115.27,0.1781,0.1781,0.1413,8642761
THE KRAFT HEINZ CO.,31.97,10.16,31.96,32.1,31.82,8526896
RECURSION PHARMACEUTICALS INC.,5.89,11.83,5.97,6.06,5.83,8515852
SANGAMO THERAPEUTICS INC.,2.14,10.31,1.99,2.27,1.93,8343055
UNITED AIRLINES HLD.,96.51,10.33,97.75,101.6,96.48,8317531
AST SPACEMOBILE INC.,23.39,13.39,23.89,24.38,22.92,8295087
CARDIO DIAGNOSTICS HLD.,0.311,15.79,0.294,0.338,0.28,8222157
ALECTOR INC.,2.57,135.1,2.59,2.71,2.37,8130344
ARROWHEAD PHARMACEUTICALS INC.,21.05,12.03,22.95,24.23,20.85,8052165
HOST HOTELS & RESORTS INC.,18.31,10.6,18.32,18.47,18.25,8026869
VENTYX BIOSCIENCES INC.,2.54,23.3,2.25,2.67,2.22,7611647
ESPERION THERAPEUTICS INC.,2.57,0.0,2.52,2.61,2.51,7582940
PDD HOLDINGS INC. ADS,99.31,11.37,101.2,101.32,98.85,7430306
VIATRIS INC.,13.08,12.1,13.33,13.33,12.94,7419501
LAM RESEARCH CORP.,72.69,11.38,74.11,74.47,72.0,7385246
TAYSHA GENE THERAPIES INC.,2.93,1.38,2.87,2.99,2.79,7377954
MODERNA INC.,42.05,13.69,43.13,43.3,41.47,7248943
SUNRUN INC.,11.49,10.26,11.27,11.53,10.87,7227496
NIKOLA CORP.,1.95,17.14,2.09,2.09,1.91,7163028
COGNITION THERAPEUTICS INC.,0.4045,10.61,0.393,0.4129,0.3763,7019654
CROWDSTRIKE HOLDINGS INC.,364.3,0.17,363.0,367.35,359.25,6951313
PATTERSON-UTI ENERGY INC.,8.34,13.25,8.65,8.73,8.3,6904924
SEMTECH CORP.,63.11,18.1,63.5,66.64,57.51,6885047
OPKO HEALTH INC.,1.55,14.32,1.61,1.61,1.48,6789955
XP INC.,16.03,10.06,16.04,16.26,15.9,6726914
STONECO LTD.,10.7,11.83,10.83,11.05,10.64,6651002
VUZIX CORP.,1.97,112.44,2.38,2.63,1.82,6608695
ANALOG DEVICES INC.,219.05,12.03,232.15,233.55,216.01,6569057
STARBUCKS CORP.,100.68,11.14,101.99,102.09,100.47,6558260
APPLIED MATERIALS INC.,173.2,10.77,175.34,175.49,170.93,6517076
FARADAY FUTURE INTELLIGENT ELECTRIC,1.34,15.63,1.4,1.44,1.28,6498570
OLD NATIONAL BANCORP,23.14,0.87,23.38,23.6,23.08,6392749
SEALSQ CORP,0.4512,14.08,0.4984,0.5,0.418,6328278
ZOOMINFO TECHNOLOGIES INC.,10.89,0.28,10.74,10.9,10.65,6236503
COHERUS BIOSCIENCES INC.,1.28,5.79,1.22,1.39,1.19,6098910
MANNKIND CORP.,6.58,12.08,6.66,6.67,6.26,5996338
RUMBLE INC.,7.04,13.69,7.3,7.78,6.94,5989041
HERTZ GLOBAL HOLDINGS INC,4.52,11.31,4.59,4.83,4.47,5967520
PACIFIC BIOSCIENCES OF CALIFORNIA,1.77,14.32,1.83,1.84,1.74,5964509
NEWELL BRANDS INC.,9.34,12.91,9.51,9.58,9.29,5946854
SHOALS TECHNOLOGIES GROUP INC.,5.01,11.18,5.01,5.16,4.91,5863543
EXACT SCIENCES CORP.,60.1,9.0,60.3,61.22,57.8,5857293
SMARTKEM INC.,7.3,34.44,7.66,7.8,5.66,5843428
CONFLUENT INC.,31.29,12.92,31.88,32.02,31.23,5739036
UPSTART HOLDINGS INC.,78.51,11.27,78.15,80.77,76.36,5729394
FLEX,39.92,12.8,41.08,41.08,39.86,5705258
DRAFTKINGS INC.,43.06,0.14,42.99,43.48,42.76,5694072
NANO NUCLEAR ENERGY INC.,26.02,0.42,27.31,28.65,25.17,5637810
REDFIN CORP.,9.61,10.21,9.18,9.66,9.16,5632730
PAYPAL HOLDINGS INC.,86.94,10.95,87.4,88.18,86.9,5610415
EXELON CORP.,39.49,0.92,39.18,39.58,39.16,5591719
ROIVANT SCIENCES,12.7,1.93,12.37,12.73,12.37,5509343
KINDLY MD INC.,1.89,26.85,1.46,2.21,1.33,5463311
VODAFONE GROUP PLC ADS,8.86,10.56,8.96,8.97,8.84,5462885
IOVANCE BIOTHERAPEUTICS INC.,9.12,11.62,9.28,9.42,9.07,5417859
POET TECHNOLOGIES INC.,5.06,19.06,4.37,5.34,4.33,5363164
THE GOODYEAR TIRE & RUBBER CO.,10.1,10.3,9.9,10.14,9.83,5325318
ALLOGENE THERAPEUTICS INC.,2.52,10.53,2.51,2.77,2.44,5295165
TEXAS INSTRUMENTS INC.,200.95,10.98,206.0,206.91,199.15,5260495
QMMM HOLDINGS LTD.,1.0,18.26,0.98,1.15,0.9,5256298
STERICYCLE INC.,61.98,0.0,61.97,61.99,61.94,5241236
NEW FORTRESS ENERGY INC.,10.04,3.4,9.7,10.07,9.48,5238138
HIVE DIGITAL TECHNOLOGIES LTD,3.66,16.87,3.86,3.96,3.65,5221370
VIKING THERAPEUTICS INC.,53.42,2.75,55.26,56.25,52.33,5187402
ON SEMICONDUCTOR,70.82,12.17,73.35,73.43,69.97,5136809
EVOLV TECHNOLOGIES HLD.,3.44,2.38,3.34,3.5,2.83,5130500
FIFTH THIRD BANCORP,48.25,10.39,48.4,48.65,48.09,5110050
PETCO HEALTH AND WELLNESS CO.,3.98,15.91,4.12,4.14,3.88,5101945
CANOPY GROWTH CORP.,3.94,15.06,4.05,4.1,3.92,5067244
SLM CORP.,27.42,11.65,28.0,28.08,27.38,5048528
NUTANIX INC.,72.35,10.62,72.8,73.81,71.9,5041642
NAVITAS SEMICONDUCTOR,2.55,18.27,2.76,2.84,2.51,4986989
BAKER HUGHES COMPANY,43.53,10.05,43.75,43.93,43.05,4985714
EVGO INC.,6.49,11.37,6.49,6.54,6.18,4975580
CABALETTA BIO INC.,2.42,5.68,2.53,2.92,2.38,4921066
THE HONEST CO.,8.32,12.92,8.55,8.83,8.32,4891266
PAYONEER GLOBAL INC.,11.05,1.01,10.85,11.16,10.82,4854918
MOBILEYE GLOBAL INC.,17.92,13.14,18.5,18.8,17.9,4817816
STAR FASHION CULTURE HLD.,5.35,9.41,4.8,5.55,4.66,4802797
INFOBIRD CO. LTD,1.82,15.21,1.9,1.9,1.82,4778066
HUT 8 CORP.,24.42,13.25,24.14,25.92,23.94,4740848
FORTINET INC.,96.44,3.57,93.97,96.7,93.97,4729263
APA CORP.,22.52,10.66,22.76,22.83,22.25,4680421
PEPSICO INC.,162.16,10.55,163.27,163.68,161.9,4653842
ARRAY TECHNOLOGIES INC.,6.66,15.13,6.94,6.97,6.53,4594207
ETSY INC.,54.78,11.62,54.8,55.32,54.06,4570752
COPART INC.,63.8,0.08,63.75,64.19,63.37,4528088
LI AUTO INC. ADS,21.83,12.72,22.11,22.21,21.8,4526834
KINGSOFT CLOUD HOLDINGS,5.97,114.1,6.24,6.3,5.82,4520198
APPLOVIN CORP.,329.77,3.19,324.46,334.74,320.37,4442188
ENPHASE ENERGY INC.,70.5,11.96,70.89,71.46,68.71,4432027
MONSTER BEVERAGE,54.83,10.27,54.98,55.15,54.46,4411562
GILEAD SCIENCES INC.,91.35,0.95,90.34,91.68,89.63,4406468
DATADOG INC.,154.39,11.43,155.46,157.48,152.49,4365635
ASTERA LABS INC.,105.48,11.71,108.0,110.93,103.64,4343890
URBAN OUTFITTERS INC.,40.14,10.79,39.55,40.22,39.22,4335082
ASTRAZENECA PLC ADS,66.36,10.06,66.63,66.82,65.88,4334535
BRIDGEBIO PHARMA INC.,26.44,12.76,26.93,27.88,25.52,4317413
BALLARD POWER SYSTEMS INC.,1.37,14.2,1.38,1.42,1.36,4311244
ENOVIX CORP.,9.22,13.25,9.35,9.43,9.09,4262405
AXONICS INC.,70.98,0.0,70.5,71.05,70.37,4233308
CADIZ INC.,4.4,26.07,3.52,4.72,3.5,4208679
HONEYWELL INTERNATIONAL INC.,230.4,10.09,231.8,232.5,229.85,4203200
WORKDAY INC.,270.19,0.93,268.9,271.29,267.02,4189936
KANZHUN LTD.,12.18,13.64,12.63,12.66,12.16,4187014
MAINZ BIOMED N.V.,0.225,8.8,0.2068,0.2399,0.204,4157582
DEXCOM INC.,77.94,0.14,78.65,79.38,76.94,4142028
BILIBILI INC. ADS,18.07,11.74,18.33,18.42,17.92,4124529
MICROVISION INC.,0.9051,17.63,1.0,1.01,0.9013,4090319
OXFORD LANE CAPITAL,5.22,0.0,5.22,5.23,5.21,4069093
MOLECULAR TEMPLATES INC.,0.37,17.87,0.3936,0.41,0.3511,4038469
BEYOND MEAT INC.,5.17,11.52,5.2,5.2,4.97,3994678
SOLAREDGE TECHNOLOGIES INC.,13.69,10.58,13.94,13.98,13.1,3987083
FOX CORP.,46.15,0.15,46.29,46.31,45.91,3916760
AKEBIA THERAPEUTICS INC.,2.05,6.22,1.93,2.1,1.9,3908126
CANOO INC.,0.3992,15.22,0.4299,0.439,0.3951,3907632
H WORLD GROUP LTD.,33.1,15.89,34.23,34.28,32.95,3901785
ARES CAPITAL CORP.,22.0,0.0,22.02,22.09,21.86,3898219
BLINK CHARGING CO.,1.55,14.32,1.6,1.61,1.53,3892755
GEVO INC.,1.59,17.56,1.73,1.73,1.54,3885458
CONSTELLATION ENERGY,266.73,7.15,249.55,267.13,249.2,3881649
CLOVER HEALTH INVESTMENTS,3.4,12.58,3.47,3.49,3.35,3868100
SERVE ROBOTICS INC.,8.78,10.34,8.64,9.22,8.64,3846484
MATTEL INC.,18.63,12.31,19.08,19.08,18.41,3844867
GERON CORP.,4.06,10.98,4.01,4.11,4.01,3781112
BITDEER TECHNOLOGIES GROUP,11.16,19.49,12.01,12.01,11.12,3739917
WW INTERNATIONAL INC.,1.25,0.81,1.24,1.25,1.18,3731436
PLAINS ALL AMERICAN PIPELINE L.P.,17.67,0.57,17.66,17.79,17.52,3687881
BGC GROUP INC.,9.64,11.23,9.83,9.94,9.53,3680177
NOVAVAX INC.,8.75,16.12,9.23,9.28,8.64,3672274
POLESTAR AUTOMOTIVE HOLDING UK,1.1,18.33,1.22,1.22,1.1,3658900
NETCAPITAL INC.,1.95,15.34,2.05,2.24,1.75,3586932
ENSYSCE BIOSCIENCES INC.,0.548,14.45,0.4988,0.5597,0.47,3573668
NEW HORIZON AIRCRAFT,0.522,2.37,0.53,0.5899,0.4815,3550675
OLAPLEX HOLDINGS INC.,2.02,14.27,2.1,2.1,1.98,3532849
THE TRADE DESK INC.,128.98,10.29,129.24,131.95,128.59,3505521
EOS ENERGY ENTERPRISES INC.,2.68,13.94,2.8,2.81,2.66,3447847
ROKU INC.,66.31,12.8,67.7,68.38,66.23,3405477
SAREPTA THERAPEUTICS INC.,130.5,13.82,116.11,131.0,115.75,3403489
BLUEBIRD BIO INC.,0.37,2.29,0.37,0.3789,0.3471,3380889
VIASAT INC.,8.69,110.5,9.7,9.7,8.51,3356900
CELLDEX THERAPEUTICS INC.,26.76,14.9,27.89,28.33,26.53,3325140
MARAVAI LIFESCIENCES HLD.,5.62,6.24,5.25,5.85,4.96,3322319
APELLIS PHARMACEUTICALS INC.,32.63,2.26,32.29,32.98,31.8,3302078
FRONTIER GROUP HLD.,5.57,13.13,5.72,5.72,5.47,3279172
TRIP.COM GROUP LTD.,62.9,12.53,63.98,63.98,62.81,3275383
ASTRONICS CORP.,15.66,111.07,14.13,15.84,14.13,3259360
T-MOBILE US INC.,244.92,2.08,241.81,245.17,241.47,3251052
COMMSCOPE HOLDING CO.,4.97,12.36,5.02,5.09,4.88,3245280
CERENCE INC.,6.47,18.36,6.95,7.0,6.18,3239145
VIRPAX PHARMACEUTICALS INC.,0.48,2.87,0.465,0.5199,0.42,3238008
AIRBNB INC.,139.67,10.89,140.78,141.75,139.18,3228419
EDITAS MEDICINE INC.,2.21,17.14,2.34,2.34,2.13,3228323
EBAY INC.,65.09,0.15,64.92,65.5,64.78,3192727
DOLLAR TREE INC.,69.12,10.95,69.05,69.39,67.79,3182544
THE REALREAL INC.,5.29,10.75,5.25,5.39,5.07,3156060
XCEL ENERGY INC.,71.87,0.38,72.05,72.09,71.25,3155878
NETFLIX INC.,872.6,0.81,867.49,886.36,867.25,3138259
BAIDU INC. ADS,83.51,1.02,83.78,84.68,82.8,3131722
SABRE CORP.,3.77,0.27,3.7,3.83,3.68,3113533
CNS PHARMACEUTICALS INC.,0.1164,1.22,0.111,0.118,0.111,3104197
MERSANA THERAPEUTICS INC.,2.17,8.5,1.99,2.24,1.93,3094388
NUVEI CORP.,33.99,0.0,33.98,34.0,33.98,3084812
HAOXI HEALTH TECHNOLOGY,0.205,112.77,0.2245,0.2288,0.1988,3076843
SYROS PHARMACEUTICALS INC.,0.2509,12.45,0.2601,0.2652,0.2361,3065720
SABRA HEALTH CARE REIT INC.,18.84,1.73,18.42,18.99,18.41,3051878
DIGITAL TURBINE INC.,1.42,14.7,1.46,1.51,1.39,3043483
ARDELYX INC.,5.35,1.9,5.23,5.37,5.16,3040160
SANOFI ADS,48.28,10.14,48.57,48.64,47.88,3035899
10X GENOMICS INC.,15.01,11.9,15.05,15.08,14.61,3032397
APTEVO THERAPEUTICS INC.,0.336,9.2,0.31,0.3592,0.31,3027956
SIRIUSXM HOLDINGS INC.,26.32,11.42,26.62,26.67,26.16,3006119
IMMUNITYBIO INC.,5.12,1.59,4.98,5.18,4.87,2991616
HUMACYTE INC.,4.43,3.5,4.24,4.49,4.12,2979062
FRESHWORKS INC.,16.32,10.79,16.34,16.5,16.2,2964504
DAMON INC.,0.9299,126.2,1.2,1.45,0.9,2951693
TOP WEALTH GROUP HOLDING,0.3138,0.45,0.31,0.3185,0.2822,2937048
PRIMEGA GROUP HOLDINGS,107.36,918.6,20.0,107.36,17.99,2932177
LEXICON PHARMACEUTICALS INC.,0.8202,0.86,0.82,0.8596,0.78,2931793
MAXEON SOLAR TECHNOLOGIES,7.66,14.01,9.5,9.66,7.12,2925818
KURA ONCOLOGY INC.,10.75,11.92,10.81,11.0,10.53,2915890
MATCH GROUP INC.,32.66,0.28,32.53,32.78,31.77,2911426
APPLIED OPTOELECTRONICS INC.,37.02,12.35,38.27,39.41,36.17,2906606
CREDO TECHNOLOGY GROUP HOLDING LTD,46.67,10.85,47.24,48.39,45.83,2883400
SERES THERAPEUTICS INC.,0.877,10.93,0.9618,0.9618,0.8089,2880813
OKTA INC.,76.83,0.43,76.37,77.23,75.25,2875513
GEN DIGITAL INC.,30.9,0.91,30.63,30.94,30.49,2871132
UPWORK INC.,16.83,0.78,16.48,16.86,16.34,2868287
PALO ALTO NETWORKS INC.,396.4,2.59,389.44,397.22,388.63,2860574
COGNIZANT TECHNOLOGY SOLUTIONS,81.06,0.53,80.74,81.16,79.71,2828873
OATLY GROUP AB ADS,0.7196,12.35,0.74,0.74,0.6931,2814895
BLADE AIR MOBILITY INC.,3.96,5.88,3.8,4.02,3.58,2799152
CARIBOU BIOSCIENCES INC.,2.02,0.0,2.51,2.52,1.99,2793321
LIVEPERSON INC.,0.9282,17.18,1.01,1.01,0.9001,2791639
BRAZE INC.,39.1,10.05,38.86,39.2,38.28,2788942
TG THERAPEUTICS INC.,34.26,11.01,34.09,34.72,33.64,2770225
TERNS PHARMACEUTICALS INC.,5.88,1.55,5.85,6.03,5.74,2767451
ARCUTIS BIOTHERAPEUTICS INC.,11.51,6.87,10.78,11.64,10.57,2766627
MAPLEBEAR INC.,43.54,10.16,43.7,43.96,42.85,2762810
CME GROUP INC.,234.39,2.19,229.77,235.18,229.08,2752881
ROSS STORES INC.,154.38,0.71,153.78,155.06,152.27,2742910
DOORDASH INC.,179.01,10.05,180.0,181.3,178.1,2741007
INDIE SEMICONDUCTOR INC.,5.0,17.41,5.48,5.53,4.95,2728378
DOCUSIGN INC.,85.3,10.25,85.98,86.75,84.6,2691177
WENDY S CO.,18.39,11.02,18.53,18.66,18.2,2685027
LUMINAR TECHNOLOGIES INC.,8.69,19.48,9.5,9.5,8.63,2684921
ANAVEX LIFE SCIENCES,9.03,11.1,10.3,10.35,8.69,2679709
NETAPP INC.,129.6,2.71,126.41,129.96,126.35,2670103
SERVICE PROPERTIES TRUST SHARES OF BENE,2.76,15.48,2.86,2.86,2.73,2661280
SOLIDION TECHNOLOGY INC.,0.4522,3.36,0.4289,0.5,0.4252,2632442
EXPAND ENERGY CORP.,98.89,0.02,98.01,99.5,97.78,2605408
ARM HOLDINGS PLC ADS,136.72,12.12,139.51,140.2,135.6,2605036
LINDE PLC,456.6,0.2,453.47,456.66,451.28,2600009
MEIHUA INTERNATIONAL MEDICAL TECHNOLOGI,0.5226,111.44,0.5661,0.6602,0.5029,2591132
PROSPECT CAPITAL,4.74,11.46,4.75,4.77,4.7,2573976
IRONWOOD PHARMACEUTICALS INC.,3.52,5.07,3.35,3.63,3.28,2563171
BRIACELL THERAPEUTICS,0.7471,9.71,0.715,0.749,0.6614,2556294
CERAGON NETWORKS,4.12,1.48,4.06,4.15,3.86,2553971
CCC INTELLIGENT SOLUTIONS HLD.,12.62,10.94,12.71,12.8,12.49,2531673
WORKHORSE GROUP INC.,1.07,16.96,1.15,1.16,1.03,2526732
AUTODESK INC.,317.96,10.45,320.79,320.99,316.54,2519923
MULLEN AUTOMOTIVE INC.,2.62,18.71,2.9,3.17,2.54,2502303
LUCAS GC LTD.,0.7611,132.65,1.13,1.18,0.7029,2479016
NXP SEMICONDUCTORS N.V.,228.66,12.22,237.36,238.76,226.75,2476629
APPLIED THERAPEUTICS INC.,10.21,6.47,9.58,10.48,9.45,2471875
DIAMONDBACK ENERGY INC.,175.97,11.99,179.73,180.55,175.13,2466844
PROTAGENIC THERAPEUTICS INC.,0.73,13.0,0.699,0.9346,0.66,2452082
NEBIUS GROUP N.V.,22.12,15.83,23.16,23.6,22.0,2444576
ILLUMINA INC.,142.95,10.6,143.08,143.42,140.56,2440705
LIBERTY GLOBAL LTD.,13.76,1.62,13.58,13.82,13.52,2428004
PTL LTD,7.3,9.12,6.76,7.3,6.25,2425364
ADOBE INC.,525.3,1.27,519.95,525.76,516.36,2415735
SEAGATE TECHNOLOGY HLD.,101.66,0.3,101.92,103.17,101.25,2412588
BLUE BIRD CORP.,40.69,15.0,38.87,42.19,37.71,2410867
DROPBOX INC.,28.37,10.53,28.46,28.58,28.15,2404683
OCUGEN INC.,0.9086,11.47,0.936,0.9376,0.9001,2374704
BIGCOMMERCE HLD.,7.4,2.92,7.15,7.62,7.1,2373963
KWESST MICRO SYSTEMS INC.,0.795,6.0,0.73,0.85,0.7,2370072
AMBARELLA INC.,68.41,1.66,68.06,69.55,66.99,2367712
PYXIS ONCOLOGY INC.,1.77,16.35,1.88,1.88,1.77,2366376
THE CAMPBELL S CO.,46.6,1.46,46.01,46.68,46.01,2366224
SPORTRADAR GROUP AG,17.06,13.34,17.15,17.36,16.74,2362390
QORVO INC.,68.15,12.24,69.95,69.95,67.58,2353896
ZILLOW GROUP INC.,84.85,0.6,82.67,85.75,82.57,2350838
BERRY CORP.,3.92,13.69,4.09,4.09,3.9,2348835
GOLAR LNG LTD.,39.51,14.19,40.9,41.01,39.13,2326159
MELCO RESORTS & ENTERTAINMENT,5.98,11.48,6.1,6.1,5.95,2314834
CAESARS ENTERTAINMENT INC.,38.68,11.88,39.25,39.4,38.29,2313358
BIONANO GENOMICS INC.,0.24,14.53,0.26,0.268,0.24,2293279
AMERICAN ELECTRIC POWER CO.,99.33,1.25,98.73,99.47,98.31,2277618
STAR BULK CARRIERS,18.03,13.32,18.61,18.62,18.03,2277260
